SeniorCitizen,tenure,MonthlyCharges,TotalCharges,Churn,service_count,has_online_security,has_tech_support,has_phone_service,has_multiple_lines,has_multiple_services,avg_charge_per_service,avg_charge_per_tenure,monthly_to_total_ratio,is_automatic_payment,expected_total_charges,charges_diff,charges_ratio,is_month_to_month,senior_x_month_to_month,tenure_x_contract,tenure_x_dependents,tenure_x_partner,tenure_bin,gender_Male,Partner_Yes,Dependents_Yes,PhoneService_Yes,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_Yes,OnlineBackup_Yes,DeviceProtection_Yes,TechSupport_Yes,StreamingTV_Yes,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaperlessBilling_Yes,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,customerID
0,1,29.85,29.85,0,1,0,0,0,0,0,14.925,14.925,0.9675850891410048,0,29.85,0.0,0.9675850891410048,1,0,1,0,1,0,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,7590-VHVEG
0,34,56.95,1889.5,0,3,1,0,1,0,1,14.2375,53.98571428571429,0.03012430573922243,0,1936.3000000000002,-46.80000000000018,0.9753264853146131,0,0,0,0,0,2,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,5575-GNVDE
0,2,53.85,108.15,1,3,1,0,1,0,1,13.4625,36.050000000000004,0.4933577645442052,0,107.7,0.45000000000000284,0.9949402023919044,1,0,2,0,0,0,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,3668-QPYBK
0,45,42.3,1840.75,0,3,1,1,0,0,1,10.575,40.016304347826086,0.022967286548119994,1,1903.4999999999998,-62.74999999999977,0.9665266474140195,0,0,0,0,0,2,True,False,False,False,True,False,False,False,True,False,True,True,False,False,True,False,False,False,False,False,7795-CFOCW
0,2,70.7,151.65,1,1,0,0,1,0,0,35.35,50.550000000000004,0.46315099901735995,0,141.4,10.25,1.0649578651685394,1,0,2,0,0,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,9237-HQITU
0,8,99.65,820.5,1,5,0,0,1,1,1,16.608333333333334,91.16666666666667,0.12130249543517956,0,797.2,23.299999999999955,1.0279378601854172,1,0,8,0,0,0,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,True,False,True,False,9305-CDSKC
0,22,89.1,1949.4,0,4,0,0,1,1,1,17.82,84.75652173913043,0.04568293683347005,1,1960.1999999999998,-10.799999999999727,0.9939832755455845,1,0,22,22,0,1,True,False,True,True,False,True,True,False,False,True,False,False,True,False,False,False,True,True,False,False,1452-KIOVK
0,10,29.75,301.9,0,1,1,0,0,0,0,14.875,27.44545454545454,0.09821723341036646,0,297.5,4.399999999999977,1.0113902847571188,1,0,10,0,0,0,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,6713-OKOMC
0,28,104.8,3046.05,1,6,0,1,1,1,1,14.971428571428572,105.03620689655173,0.03439392199012159,0,2934.4,111.65000000000009,1.0376950330449002,1,0,28,0,28,2,False,True,False,True,False,True,True,False,False,False,True,True,True,True,False,False,True,False,True,False,7892-POOKP
0,62,56.15,3487.95,0,3,1,0,1,0,1,14.0375,55.364285714285714,0.01609366714914229,1,3481.2999999999997,6.650000000000091,1.0016224908824627,0,0,0,62,0,3,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,6388-TABGU
